Quarter;-Max;-1000MW;-900MW;-800MW;-700MW;-600MW;-500MW;-400MW;-300MW;-200MW;-100MW;100MW;200MW;300MW;400MW;500MW;600MW;700MW;800MW;900MW;1000MW;Max
25/01/2023 19:45 -> 20:00;-300.00;-98.24;-98.24;-98.24;-98.24;-98.24;-98.24;-98.24;-98.24;-98.24;84.46;597.57;656.04;656.04;656.04;656.04;656.04;2000.00;3580.69;3580.69;3580.69;3580.69
25/01/2023 20:00 -> 20:15;-300.00;-98.17;-98.17;-98.17;-98.17;-98.17;-98.17;-98.17;-98.17;-98.17;84.46;983.96;986.41;986.41;986.41;986.41;986.41;986.41;2000.00;2000.00;2000.00;2000.00
25/01/2023 20:15 -> 20:30;-300.00;-98.31;-98.31;-98.31;-98.31;-98.31;-98.31;-98.31;-98.31;-98.31;84.46;897.58;908.63;908.63;908.63;908.63;908.63;1000.00;2000.00;2000.00;2000.00;2000.00
25/01/2023 20:30 -> 20:45;-300.00;-98.49;-98.49;-98.49;-98.49;-98.49;-98.49;-98.49;-98.49;-98.49;84.46;983.96;986.41;986.41;986.41;986.41;986.41;986.41;2000.00;2000.00;2000.00;2000.00
25/01/2023 20:45 -> 21:00;-300.00;-98.58;-98.58;-98.58;-98.58;-98.58;-98.58;-98.58;-98.58;-98.58;84.46;946.01;954.24;954.24;954.24;954.24;954.24;954.24;2000.00;2000.00;2000.00;2000.00
25/01/2023 21:00 -> 21:15;-300.00;-98.58;-98.58;-98.58;-98.58;-98.58;-98.58;-98.58;-98.58;-98.58;84.46;199.01;268.89;270.87;279.50;335.26;593.14;605.39;2000.00;2000.00;2000.00;2000.00
25/01/2023 21:15 -> 21:30;-300.00;-98.55;-98.55;-98.55;-98.55;-98.55;-98.55;-98.55;-98.55;-98.55;84.46;231.58;364.51;369.13;403.70;596.49;697.85;894.53;2000.00;2000.00;2000.00;2000.00
25/01/2023 21:30 -> 21:45;-300.00;-98.51;-98.51;-98.51;-98.51;-98.51;-98.51;-98.51;-98.51;-98.51;84.46;300.00;340.27;340.27;340.27;340.27;593.14;945.12;2000.00;2000.00;2000.00;2000.00
25/01/2023 21:45 -> 22:00;-300.00;-98.22;-98.22;-98.22;-98.22;-98.22;-98.22;-98.22;-98.22;-98.22;84.46;299.41;332.02;332.02;332.02;335.26;593.14;605.39;2000.00;2000.00;2000.00;2000.00
25/01/2023 22:00 -> 22:15;-300.00;-98.22;-98.22;-98.22;-98.22;-98.22;-98.22;-98.22;-98.22;-98.22;84.46;187.70;264.70;270.87;279.50;335.26;593.14;605.39;2000.00;2000.00;2000.00;2000.00
25/01/2023 22:15 -> 22:30;-300.00;-98.22;-98.22;-98.22;-98.22;-98.22;-98.22;-98.22;-98.22;-98.22;84.46;187.70;264.70;270.87;279.50;335.26;593.14;605.39;2000.00;2000.00;2000.00;2000.00
25/01/2023 22:30 -> 22:45;-300.00;-98.22;-98.22;-98.22;-98.22;-98.22;-98.22;-98.22;-98.22;-98.22;84.46;187.70;264.70;270.87;279.50;335.26;593.14;605.39;2000.00;2000.00;2000.00;2000.00
25/01/2023 22:45 -> 23:00;-300.00;-98.22;-98.22;-98.22;-98.22;-98.22;-98.22;-98.22;-98.22;-98.22;84.46;187.70;264.70;270.87;279.50;335.26;593.14;605.39;2000.00;2000.00;2000.00;2000.00
25/01/2023 23:00 -> 23:15;-300.00;-98.22;-98.22;-98.22;-98.22;-98.22;-98.22;-98.22;-98.22;-98.22;84.46;210.50;261.44;261.44;261.44;261.44;264.70;270.87;279.50;335.26;593.14;2000.00
25/01/2023 23:15 -> 23:30;-300.00;-98.22;-98.22;-98.22;-98.22;-98.22;-98.22;-98.22;-98.22;-98.22;84.46;210.50;261.44;261.44;261.44;261.44;264.70;270.87;279.50;335.26;593.14;2000.00
25/01/2023 23:30 -> 23:45;-300.00;-98.22;-98.22;-98.22;-98.22;-98.22;-98.22;-98.22;-98.22;-98.22;84.46;210.50;261.44;261.44;261.44;261.44;264.70;270.87;279.50;335.26;593.14;2000.00
25/01/2023 23:45 -> 00:00;-300.00;-98.22;-98.22;-98.22;-98.22;-98.22;-98.22;-98.22;-98.22;-98.22;84.46;210.50;262.81;262.81;262.81;262.81;264.70;270.87;279.50;335.26;593.14;2000.00
