Prediction Datetime,Resolution code,Quarter hour,Input data availability,System imbalance forecast,"Probability in [-inf,-400]","Probability in [-400,-200]","Probability in [-200,0]","Probability in [0,200]","Probability in [200,400]","Probability in [400,inf]"
2023-01-31T05:47:06+00:00,PT1M,2023-01-31T05:45:00+00:00,1.0,-23.159444004076644,0.0035161345300823875,0.05949842311714318,0.4998584136915952,0.3656380538721924,0.06955993843664077,0.00192903635234604
2023-01-31T05:46:07+00:00,PT1M,2023-01-31T05:45:00+00:00,1.0,-14.078541094372927,0.0035802927703584495,0.058216371077732774,0.4869157518684057,0.3668468781760992,0.08183930185521798,0.0026014042521858736
2023-01-31T05:45:06+00:00,PT1M,2023-01-31T05:45:00+00:00,1.0,-16.67470065574664,0.0037441711545497095,0.05619348360183358,0.46056249266231847,0.37864854385909336,0.09762637172551529,0.003224936996689731
2023-01-31T05:44:07+00:00,PT1M,2023-01-31T05:30:00+00:00,1.0,35.11993192519755,4.107786967673154e-16,1.1093269127825638e-07,0.07319994182346701,0.9266190503861518,0.0001808965777799758,2.7990961032470157e-10
2023-01-31T05:43:06+00:00,PT1M,2023-01-31T05:30:00+00:00,1.0,35.0141731522515,4.54209676719712e-14,1.0696219492903936e-06,0.1151897394689919,0.8843619224475473,0.0004472654029926954,3.058473525662283e-09
2023-01-31T05:42:07+00:00,PT1M,2023-01-31T05:30:00+00:00,1.0,34.36852137130977,1.633690167257934e-12,5.167818128393239e-06,0.15060999996604812,0.8483421925015563,0.001042610086455887,2.962617758614776e-08
2023-01-31T05:41:07+00:00,PT1M,2023-01-31T05:30:00+00:00,1.0,29.07005326809846,2.467570530533656e-11,1.783761573478209e-05,0.19976062087280008,0.7974027444795373,0.002818470842232207,3.261650200284371e-07
2023-01-31T05:40:06+00:00,PT1M,2023-01-31T05:30:00+00:00,1.0,36.93872518974143,2.915850788784546e-10,4.242020268234285e-05,0.15504169785619906,0.8393771695100087,0.005537119984297375,1.5921552273533869e-06
2023-01-31T05:39:07+00:00,PT1M,2023-01-31T05:30:00+00:00,1.0,61.51694349693439,6.9851187459799436e-09,0.00019146837066673087,0.17275565278380295,0.8213589325712595,0.0056916449447928594,2.294344359204225e-06
2023-01-31T05:38:06+00:00,PT1M,2023-01-31T05:30:00+00:00,1.0,42.59148971063069,2.7893629892785815e-07,0.0009471523457890091,0.26391134351140083,0.7197949304983134,0.015320363517976068,2.5931190221690812e-05
2023-01-31T05:37:06+00:00,PT1M,2023-01-31T05:30:00+00:00,1.0,29.00821309159568,1.8240179270567802e-06,0.0029807962270056313,0.35917862477384616,0.6187861155639317,0.018966429081596684,8.621033569267306e-05
2023-01-31T05:36:07+00:00,PT1M,2023-01-31T05:30:00+00:00,1.0,18.366593641881185,7.937590298372215e-06,0.006283670288304395,0.4057273123719311,0.5712155368703133,0.016625728076460906,0.00013981480269183196
2023-01-31T05:35:06+00:00,PT1M,2023-01-31T05:30:00+00:00,1.0,44.388228108134776,1.2759530532008635e-05,0.005415456520670304,0.2925128424644348,0.6484003134347884,0.052909086554207084,0.0007495414953674274
2023-01-31T05:34:06+00:00,PT1M,2023-01-31T05:30:00+00:00,1.0,40.789754469213435,8.01636448586144e-05,0.01050341391892464,0.26740511658609367,0.6417006387506933,0.07831408362834283,0.0019965834710871455
2023-01-31T05:33:07+00:00,PT1M,2023-01-31T05:30:00+00:00,1.0,25.121437299697767,0.00042722329052062374,0.028898498398301796,0.30588225966472393,0.5488017364732211,0.10376928601908957,0.012220996154142877
2023-01-31T05:32:06+00:00,PT1M,2023-01-31T05:30:00+00:00,1.0,1.2475190394256437,0.00042870687828113944,0.04560558149091701,0.3229649220476137,0.5310976180264201,0.09176014913387591,0.008143022422892207
2023-01-31T05:31:07+00:00,PT1M,2023-01-31T05:30:00+00:00,1.0,-20.544470832390434,0.0004437479649655923,0.04508516777547261,0.316051702549373,0.5258488712696194,0.10232016376272128,0.010250346677848231
2023-01-31T05:30:06+00:00,PT1M,2023-01-31T05:30:00+00:00,1.0,47.00863598573367,0.0004729215599078632,0.04253428454911149,0.3104742487015422,0.5221751223075115,0.11162444848476578,0.012718974397161128
2023-01-31T05:29:06+00:00,PT1M,2023-01-31T05:15:00+00:00,1.0,84.96849056124927,4.764349613232684e-20,4.439730755432538e-11,0.0012088309278698206,0.9964271584613704,0.0023640020402217786,8.526140681088378e-09
2023-01-31T05:28:06+00:00,PT1M,2023-01-31T05:15:00+00:00,1.0,80.66698103966174,5.206738226881667e-17,2.2982872795942834e-09,0.005274626920951464,0.9916254485000473,0.003099886946913188,3.533380064460882e-08
2023-01-31T05:27:06+00:00,PT1M,2023-01-31T05:15:00+00:00,1.0,107.9768899328531,4.337942215991815e-14,1.2389267477358737e-07,0.02656026658907379,0.970708659316778,0.0027308598768163578,9.032461381762733e-08
2023-01-31T05:26:06+00:00,PT1M,2023-01-31T05:15:00+00:00,1.0,107.60615972700626,2.1785716622482406e-11,6.046357959428212e-06,0.12537426598737128,0.8727805072062581,0.0018390352329158454,1.4519370974329124e-07
2023-01-31T05:25:07+00:00,PT1M,2023-01-31T05:15:00+00:00,1.0,43.11511653494469,3.287636735482024e-09,0.0001469925688315922,0.39395465512329964,0.6048587558604044,0.0010394290912150658,1.6406861270404487e-07
2023-01-31T05:24:06+00:00,PT1M,2023-01-31T05:15:00+00:00,1.0,15.839324195479733,6.765245986990057e-08,0.0009010561674519847,0.5753107393247713,0.4228925716199155,0.0008952866867054087,2.785486961354929e-07
2023-01-31T05:23:06+00:00,PT1M,2023-01-31T05:15:00+00:00,1.0,9.22734839216831,1.2725886828801506e-06,0.0032557977193462505,0.4684812289230359,0.5228503717564633,0.005406154069935832,5.174942535826171e-06
2023-01-31T05:22:06+00:00,PT1M,2023-01-31T05:15:00+00:00,1.0,-8.195356163437566,9.324463903392608e-06,0.00814916505815116,0.47008305782335086,0.5145505289396297,0.00719959346591952,8.330249045493807e-06
2023-01-31T05:21:07+00:00,PT1M,2023-01-31T05:15:00+00:00,1.0,-65.9680953974115,0.00031846878182765267,0.04756655969816168,0.7218160160972859,0.22914725726864887,0.0011503973644017413,1.3007896742674247e-06
2023-01-31T05:20:06+00:00,PT1M,2023-01-31T05:15:00+00:00,1.0,-111.41032716437033,0.005399350374718357,0.1732416750140665,0.7206999575953453,0.10026648969392175,0.0003918507436055214,6.765783425411122e-07
2023-01-31T05:19:06+00:00,PT1M,2023-01-31T05:15:00+00:00,1.0,-141.9709105135897,0.030770778300846173,0.2987410127863369,0.6012404675036435,0.0687497899408661,0.0004957514845385601,2.1999837688980655e-06
2023-01-31T05:18:07+00:00,PT1M,2023-01-31T05:15:00+00:00,1.0,-162.65680825761905,0.12041551560053702,0.3662558499948427,0.451164320195511,0.06133943914205374,0.0008078038666686864,1.7071200386919297e-05
2023-01-31T05:17:07+00:00,PT1M,2023-01-31T05:15:00+00:00,1.0,-175.74127860449647,0.10858754132923956,0.31586764057314964,0.494891592439921,0.07943421569675153,0.0011871544530730077,3.1855507865260865e-05
2023-01-31T05:16:06+00:00,PT1M,2023-01-31T05:15:00+00:00,1.0,-154.9852358537452,0.12846033653445363,0.3085583072347857,0.47108265416735523,0.09021911136278515,0.0016304140202702264,4.9176680350098156e-05
2023-01-31T05:15:06+00:00,PT1M,2023-01-31T05:15:00+00:00,1.0,-167.65079117350606,0.1166310189721306,0.3099659669201938,0.4846466259187053,0.08666774411184436,0.0020131554489944757,7.548862813157974e-05
2023-01-31T05:14:06+00:00,PT1M,2023-01-31T05:00:00+00:00,1.0,-216.06971637647797,5.7817391079632515e-06,0.3130999422547715,0.6868935151085819,7.608975357395968e-07,2.8759241345389156e-15,1.2044207053854604e-23
2023-01-31T05:13:06+00:00,PT1M,2023-01-31T05:00:00+00:00,1.0,-191.34045385124008,1.0043886112241248e-05,0.17908457369790645,0.8208816655034635,2.3716911022276902e-05,1.4953448789686936e-12,6.305009614966054e-20
2023-01-31T05:12:08+00:00,PT1M,2023-01-31T05:00:00+00:00,1.0,-172.8486831112309,1.8571629353780606e-05,0.13296221938009045,0.8668156124368328,0.00020359644988275072,1.0384021159420293e-10,3.6456425714878474e-17
2023-01-31T05:11:06+00:00,PT1M,2023-01-31T05:00:00+00:00,1.0,-169.16815916871425,2.90342433645297e-05,0.10911723368246871,0.8898935905906026,0.0009601378753196157,3.6082349166133526e-09,9.676620803026882e-15
2023-01-31T05:10:06+00:00,PT1M,2023-01-31T05:00:00+00:00,1.0,-152.7538891782573,4.8302419583304556e-05,0.09269516205179057,0.9027254743319796,0.00453097141944333,8.977595772445481e-08,1.2454997971541834e-12
2023-01-31T05:09:06+00:00,PT1M,2023-01-31T05:00:00+00:00,1.0,-131.1329059003507,3.7569149192668486e-05,0.06447831197500661,0.9189610427177077,0.016520883474578526,2.1925515838603705e-06,1.3193068895137143e-10
2023-01-31T05:08:06+00:00,PT1M,2023-01-31T05:00:00+00:00,1.0,-147.83055964948454,0.00020692297261160026,0.08114395865383803,0.894093365533465,0.024537902642058494,1.7844997073215683e-05,5.200953581559636e-09
2023-01-31T05:07:07+00:00,PT1M,2023-01-31T05:00:00+00:00,1.0,-89.28530378955537,0.0001719241527413037,0.03663718244310259,0.8063471023553503,0.15636792609450195,0.00047561486813998207,2.5008616385799894e-07
2023-01-31T05:06:06+00:00,PT1M,2023-01-31T05:00:00+00:00,1.0,-25.471129451899184,0.0001254084905075767,0.020293990628491767,0.59764879640975,0.3758956601137218,0.006028555335862736,7.589021666011402e-06
2023-01-31T05:05:06+00:00,PT1M,2023-01-31T05:00:00+00:00,1.0,-52.48184694541706,0.0008462981812286053,0.046794991983936766,0.6472947847106935,0.29935299163772056,0.005692123262559147,1.8810223861418268e-05
2023-01-31T05:04:06+00:00,PT1M,2023-01-31T05:00:00+00:00,1.0,-38.34250790692852,0.002304233468190926,0.05345570470902358,0.5626321847498453,0.3676829234430742,0.013797516136463028,0.00012743749340298933
2023-01-31T05:03:06+00:00,PT1M,2023-01-31T05:00:00+00:00,1.0,-86.93157165982818,0.005174432755271071,0.06106493795311702,0.5339779290496737,0.3660311600434261,0.031486580648946556,0.0022649595495654834
2023-01-31T05:02:07+00:00,PT1M,2023-01-31T05:00:00+00:00,1.0,-42.96950545688952,0.006405556551028923,0.05687696366957908,0.5282274250968665,0.3790586086579659,0.028285752185699047,0.0011456938388606263
2023-01-31T05:01:06+00:00,PT1M,2023-01-31T05:00:00+00:00,1.0,-27.841456188688685,0.0041457719909431725,0.04561857353045802,0.5009596126622607,0.4053687239636132,0.041645793459063274,0.002261524393661708
2023-01-31T05:00:07+00:00,PT1M,2023-01-31T05:00:00+00:00,1.0,-23.700369505186835,0.0021940127209479484,0.03155908664400325,0.42920109055159755,0.46370227733827196,0.06865320937430791,0.004690323370871173
2023-01-31T04:59:06+00:00,PT1M,2023-01-31T04:45:00+00:00,1.0,70.37366774657039,2.6301721896025123e-20,7.846320488673156e-11,0.0024390565837279538,0.9930671068680194,0.0044938037416201865,3.272816932409558e-08
2023-01-31T04:58:06+00:00,PT1M,2023-01-31T04:45:00+00:00,1.0,94.50830776183206,4.673914516926695e-18,8.601236028553254e-10,0.0037108527894656146,0.9868401840499444,0.00944874039103027,2.2190943604998696e-07
2023-01-31T04:57:06+00:00,PT1M,2023-01-31T04:45:00+00:00,1.0,93.4396497805801,7.095113485302418e-16,1.3403958223284838e-08,0.00930886490790992,0.9755020032891576,0.01518796567361959,1.1527253539137378e-06
